CONFIG_ID,NUMBER_OF_PRODUCT_SOLD,GMII,NUMBER_OF_VISIT
70002253,2788,0.127708133940966,3902
80007456-C,305,0.154904952287232,443
80024991-C,53,0.319618771296451,143
80020478-C,476,0.15539544166158403,1003
80037803-C,295,-0.210427010888203,426
80040334-C,32,0.048242280485468,126
40003019-C,210,0.287796657345273,402
80039272-C,219,0.17633421835296303,275
80033203-C,747,0.38033975220952204,4248
80015941-C,199,0.10350864727572301,856
50002724,194,0.13402948334553302,504
80046246-C,28,0.230399989640523,374
30102752,17989,0.12179759890722901,20559
80043028-C,30,0.138708108398052,120
80036905-C,106,0.08087068139507,117
30120294,316,0.264107296665285,448
80001684-C,157,-0.000733371223641,273
80037973-C,30,0.205893269966642,88
80017041-C,99,0.16420179944350302,156
80036243-C,3077,0.241045477739257,4780
80044539-C,167,0.143093063471393,410
80008224-C,31409,0.056935564884634,35184
80040553-C,220,0.052812669147704,615
40100323-C,827,0.176910440548493,767
80045942-C,113,-0.11801367768608699,735
80009663-C,71,0.21098887155336998,203
50004393,1655,0.221877223592409,2116
30120020,172,0.179779101309648,302
70002995,824,0.141803863463478,2337
80008126-C,143,0.118440174598121,437
30103005,660,0.30601899934660404,936
50004132,183,0.032956084677262,906
80038998-C,339,0.13194050419751802,496
80023060-C,70,0.054577048676435994,509
80032048-C,102,0.110685252271446,504
80022573-C,174,0.09874676104631301,254
80036769-C,262,0.277780541542903,520
80022330-C,242,0.064304966576446,326
80014262-C,3557,0.18706960765830602,14832
50004703,160,0.23516661219012902,229
80039588-C,283,0.224030825094528,921
80020661-C,87,0.254713014888768,513
80029706-C,349,0.12091063490856402,490
80045041-C,7,0.042465624535647006,62
30103495,12766,0.12392750683871301,25984
80044985-C,28,0.106693633349004,273
80022671-C,531,0.102111195956047,1063
80043783-C,91,0.19777739516866602,937
80039338-C,149,0.245025752787532,198
80035320-C,100,0.278057407832159,252
80027316-C,154,0.410764408507188,360
80038387-C,817,-0.0054131578580159994,1215
80021166-C,277,0.168432598619388,403
50800075,537,0.154919134515575,1641
80029718-C,548,0.15659694313323802,697
80001900-C,1121,0.320987488390208,2300
80018129-C,110,0.266708676329068,372
80018915-C,198,0.19931358723522,557
80019225-C,595,0.155912167530271,1091
80009869-C,328,0.23093908111489803,286
50800040,210,0.09939897635333501,606
80016338-C,218,0.04741882777470599,321
80034124-C,124,0.256876861490986,599
80013156-C,489,0.090472336256732,452
80043535-C,113,0.163623898671885,170
80022949-C,279,0.074363199217775,600
80003183-C,819,0.051639439298539,850
80041130-C,43,0.014294218594540001,229
80013491-C,1709,0.043217411289147994,1251
80028564-C,58,0.30849712815809305,255
30104510,2501,0.162774181011694,2756
80046291-C,10,-0.18124546198639496,139
80036451-C,138,0.063169158380186,114
80022834-C,277,0.15159706793628303,985
80005846-C,389,0.333866562835806,342
80045730-C,51,-0.105975113973791,46
80013026-C,68,-0.251958260866587,146
80038714-C,109,0.23582570570951397,818
30104750,307,0.149252837152071,676
80044568-C,871,0.050325584100687,4179
80042610-C,77,-0.434654408759692,161
80038640-C,283,-0.08812087936042698,395
80044183-C,10,0.46614273002892603,72
80005123-C,519,0.112752359730112,1052
80041603-C,174,0.125895857729476,276
80027237-C,411,0.058319195360540005,574
80043206-C,15,-0.093680919020046,107
80040675-C,115,0.176491922185998,229
80012716-C,706,0.075505389706441,2449
80011600-C,307,0.239808615591853,387
80024649-C,390,0.10681575632769698,771
30103631,875,0.22432646570911102,227
50002864,1069,0.21142932902641,2181
80039762-C,354,-0.5895883556451961,427
80021264-C,135,0.18603806535005898,234
80003170-C,628,0.073215046269807,930
80039596-C,791,0.094603313394921,358
80045995-C,181,-0.080996082302263,402
80034896-C,124,0.132677523041129,223
80044121-C,50,0.2243555770958,282
80027390-C,223,0.154171737158692,427
80000822-C,655,0.11386776382450697,1133
80046258-C,19,0.10671868433758899,161
50002707,112,0.157138278358597,251
80043036-C,244,0.22369080170311897,609
80020764-C,140,0.22492238387452598,284
80024111-C,309,0.220692032504411,1733
80008920-C,457,0.152740978274685,1203
80037083-C,239,0.136466780671376,1107
80032606-C,487,-0.08163952736794501,1264
80046513-C,14,0.16350610557682502,93
80036947-C,393,0.273201320636292,723
80041270-C,10,0.11588620899485498,83
80011642-C,259,0.12061081888486899,863
80039771-C,130,-0.655557664457768,262
30150232,521,0.14555406824261402,846
80027933-C,566,0.06772436492810201,889
80000849-C,102,0.199070791802373,276
80001374-C,385,0.170891774941107,714
30103474,162,0.242534484266704,146
30104787,1722,0.19231304431813395,3132
80019333-C,625,0.21839803717161899,834
80045929-C,148,-0.14657437549267302,483
80036563-C,163,-0.012032159474196998,581
30105242,363,0.291451059590519,423
80024558-C,125,0.14168378731614,521
80022803-C,2060,0.102572373445129,2200
30102790,1716,0.123121773416225,3585
80040569-C,208,0.027994337189895,941
30120005,92,-0.028280090225650003,195
80025017-C,1335,0.300215172627961,1724
80023093-C,292,0.26817081167991197,1052
80020185-C,216,0.184650842560918,789
80028218-C,220,0.11494622930071499,961
80014065-C,540,0.37093916342853206,1160
80024887-C,122,0.19819130640749696,371
80037506-C,973,0.126698828532777,3319
30160022,469,0.195021502089362,1125
80006263-C,142,0.11381483079161302,335
80011133-C,8556,0.13172692459534102,11553
80034544-C,140,0.306091377657107,362
80017883-C,46,0.31027785913295397,183
80039108-C,46,0.177311146134507,277
80008734-C,164,0.113057992976533,442
80029536-C,147,0.170419167267067,272
80032765-C,369,0.250743670058362,1626
80005433-C,166,-0.016935447324376,425
80018544-C,65,0.24444894805387501,195
80003643-C,26,0.389696323461063,161
80045085-C,136,-0.036964857225389,1566
80041987-C,138,0.257155262200869,221
80009438-C,747,0.156159150433564,1304
80023607-C,49,0.14726691666515,156
80044628-C,71,0.06557149771420599,224
80032727-C,1493,0.172371777147094,2643
80027946-C,355,-0.012107620394164,892
